REG,region,con,wld
ASIASTAN,FSU,,WLD
BRAZIL,BRA,OAM,WLD
CANADA,CAN,NAM,WLD
CHINAPLUS,CHN,SAS,WLD
EAAFRICA,SSA,AME,WLD
EU12,EUR,,WLD
EU16,EUR,,WLD
INDIAPLUS,IND,SAS,WLD
INDONESIAPLU,SEA,SAS,WLD
JAPAN,SEA,SAS,WLD
KOREA,SEA,SAS,WLD
MEXICO,OSA,OAM,WLD
MIDDLEEAST,MEN,AME,WLD
NOAFRICA,MEN,AME,WLD
OCEANIA,ANZ,,WLD
REAEUROPE,EUR,,WLD
RESTCEAMER,OSA,OAM,WLD
RESTSOAMER,OSA,OAM,WLD
RUSSIAPLUS,FSU,,WLD
RWEEUROPE,EUR,,WLD
SAEAASIA,SEA,SAS,WLD
SOAFRICA,SSA,AME,WLD
TURKEY,MEN,AME,WLD
UKRAINEPLUS,FSU,,WLD
USA,USA,NAM,WLD
WEAFRICA,SSA,AME,WLD
NA,OAS,SAS,WLD
